Mapping parameters for Gadus morhua (Atlantic cod)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  31 |  41 ,
Bounding Box (NSWE): ,83,35,-76,86

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,65,200,600
Temperature (°C),1,-0.9,2.54,12.29,16.08
Salinity (psu),1,6.2,29.5,34.8,39.3
Primary Production,1,328,546,1800,2935
Sea Ice Concentration,1,-0.9512169377449899,0,0.17,0.74
Distance to Land (km),0,0,8,263,967
 

Map data (HSPEC) for predicted occurrences (n = 4587): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Gadus,morhua,56.25,18.25,1501:468:1,0.10,1,1,0.097424892703863,1,1,1
Gadus,morhua,56.25,18.75,1501:468:2,0.10,1,1,0.097424892703863,1,1,1
Gadus,morhua,56.75,18.25,1501:468:3,0.07,0.76923076923077,1,0.097424892703863,1,1,1
Gadus,morhua,56.75,18.75,1501:468:4,0.10,1,1,0.097424892703863,1,1,1
Gadus,morhua,56.25,19.25,1501:469:1,0.06,1,1,0.063948497854077,1,1,1
Gadus,morhua,56.25,19.75,1501:469:2,0.06,1,1,0.063948497854077,1,1,1
Gadus,morhua,56.75,19.25,1501:469:3,0.06,1,1,0.063948497854077,1,1,1
Gadus,morhua,56.75,19.75,1501:469:4,0.06,1,1,0.063948497854077,1,1,1
Gadus,morhua,57.25,16.75,1501:476:2,0.01,0.53846153846154,1,0.011158798283262,1,1,1
Gadus,morhua,57.75,16.75,1501:476:4,0.01,0.67692307692308,1,0.011158798283262,1,1,1
Gadus,morhua,57.25,17.25,1501:477:1,0.01,1,1,0.011158798283262,0.99383259911894,1,1
Gadus,morhua,57.25,17.75,1501:477:2,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,57.75,17.25,1501:477:3,0.01,1,1,0.011158798283262,0.9726872246696,1,1
Gadus,morhua,57.75,17.75,1501:477:4,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,57.25,18.25,1501:478:1,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,57.25,18.75,1501:478:2,0.01,1,1,0.010300429184549,1,1,1
Gadus,morhua,57.75,18.25,1501:478:3,0.03,1,1,0.034334763948498,0.94537444933921,1,1
Gadus,morhua,57.75,18.75,1501:478:4,0.03,1,1,0.034334763948498,1,1,1
Gadus,morhua,57.25,19.25,1501:479:1,0.01,1,1,0.010300429184549,1,1,1
Gadus,morhua,57.25,19.75,1501:479:2,0.01,1,1,0.010300429184549,1,1,1
Gadus,morhua,57.75,19.25,1501:479:3,0.01,1,1,0.010300429184549,1,1,1
Gadus,morhua,57.75,19.75,1501:479:4,0.01,1,1,0.010300429184549,1,1,1
Gadus,morhua,58.25,17.25,1501:487:1,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,58.25,17.75,1501:487:2,0.03,1,1,0.034334763948498,0.98325991189427,1,1
Gadus,morhua,58.75,17.25,1501:487:3,0.02,0.70769230769231,1,0.034334763948498,1,1,1
Gadus,morhua,58.75,17.75,1501:487:4,0.03,1,1,0.034334763948498,0.94096916299559,1,1
Gadus,morhua,58.25,18.25,1501:488:1,0.03,1,1,0.034334763948498,1,1,1
Gadus,morhua,58.25,18.75,1501:488:2,0.03,1,1,0.034334763948498,1,1,1
Gadus,morhua,58.75,18.25,1501:488:3,0.03,1,1,0.034334763948498,0.91189427312775,1,1
Gadus,morhua,58.75,18.75,1501:488:4,0.03,1,1,0.034334763948498,1,1,1
Gadus,morhua,58.25,19.25,1501:489:1,0.02,1,1,0.018454935622318,1,1,1
Gadus,morhua,58.25,19.75,1501:489:2,0.02,1,1,0.018454935622318,1,1,1
Gadus,morhua,58.75,19.25,1501:489:3,0.02,1,1,0.018454935622318,1,1,1
Gadus,morhua,58.75,19.75,1501:489:4,0.02,1,1,0.018454935622318,1,1,1
Gadus,morhua,59.25,18.25,1501:498:1,0.01,0.23076923076923,1,0.034334763948498,1,1,1
Gadus,morhua,59.25,18.75,1501:498:2,0.01,0.67692307692308,1,0.014163090128755,1,1,1
Gadus,morhua,59.25,19.25,1501:499:1,0.01,1,1,0.014163090128755,1,1,1
Gadus,morhua,59.25,19.75,1501:499:2,0.01,1,1,0.014163090128755,1,1,1
Gadus,morhua,59.75,19.25,1501:499:3,0.01,1,1,0.014163090128755,1,1,1
Gadus,morhua,59.75,19.75,1501:499:4,0.01,1,1,0.014163090128755,0.92246696035242,1,1
Gadus,morhua,54.75,20.25,1502:140:3,0.02,0.83076923076923,1,0.027467811158798,0.81497797356828,1,1
Gadus,morhua,55.25,20.25,1502:350:1,0.02,1,1,0.027467811158798,0.78942731277533,1,1
Gadus,morhua,55.25,20.75,1502:350:2,0.02,0.69230769230769,1,0.027467811158798,0.88722466960352,1,1
Gadus,morhua,55.75,20.25,1502:350:3,0.03,1,1,0.027467811158798,1,1,1
Gadus,morhua,55.75,20.75,1502:350:4,0.02,1,1,0.027467811158798,0.79559471365639,1,1
Gadus,morhua,55.25,21.25,1502:351:1,0.01,0.87692307692308,1,0.027467811158798,0.29691629955947,1,1
Gadus,morhua,55.75,21.25,1502:351:3,0.01,0.52307692307692,1,0.027467811158798,0.66519823788546,1,1
Gadus,morhua,56.25,20.25,1502:360:1,0.12,1,1,0.12103004291845,0.99559471365639,1,1
Gadus,morhua,56.25,20.75,1502:360:2,0.06,0.84615384615385,1,0.12103004291845,0.615859030837,1,1
Gadus,morhua,56.75,20.25,1502:360:3,0.12,1,1,0.12103004291845,1,1,1
Gadus,morhua,56.75,20.75,1502:360:4,0.10,1,1,0.12103004291845,0.79911894273128,1,1
Gadus,morhua,56.25,21.25,1502:361:1,0.03,0.35384615384615,1,0.12103004291845,0.78061674008811,1,1
Gadus,morhua,56.75,21.25,1502:361:3,0.08,0.95384615384615,1,0.12103004291845,0.71982378854626,1,1
