"sovereign_iso3","sovereign","rcp","scenario","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff"
"SWE","Sweden","RCP45","Imperfect Full Adaptation",1103817.03321451,1062251.6200119,125799.373286186,118588.441045839,51290985.1822855,-79575411.1323098,175600.367416614,189607.786320829,0.974586723268457,1.09853268623418,0.523363286264442,0.694351732991014,11.9532369787064,-30.2266020344839,-182.690184815648,0.262516046213094
"SWE","Sweden","RCP45","Imperfect Productivity Only",954005.844019876,641464.502033823,168186.163946394,160959.983870429,94769888.4348614,47751113.475066,175600.367416614,189607.786320829,0.954607661657517,0.882126985063351,0.490885750962773,0.448908857509628,-32.3945230520653,-5.29662999133795,-50.379792674386,0.0170731707317073
"SWE","Sweden","RCP45","No Adaptation",948835.110693527,594353.644067599,169962.25567866,162926.110595702,96233200.239808,51993478.7658654,175600.367416614,189607.786320829,0.981932740422421,0.767031241313666,0.43183568677792,0.286649550706033,-37.3596489664921,-4.13982801938119,-45.9713709652174,-0.145186136071887
"SWE","Sweden","RCP45","Productivity Only",949937.174938434,644240.386538756,170423.865918364,164037.824322269,95928042.2450681,51455444.4470324,175600.367416614,189607.786320829,0.991933438792854,0.948020296770293,0.552631578947368,0.615019255455712,-32.1019659498198,-3.48573354285873,-46.5304652460812,0.183183568677792
"SWE","Sweden","RCP45","Range Shift Only",1058820.69178486,1167236.48291981,125602.000575997,141652.592516443,98985698.3140248,119692869.242123,175600.367416614,189607.786320829,1.00685620485249,0.95005531062617,0.453530166880616,0.463286264441592,23.0178425908635,-16.6564411899429,24.3779370776975,0.0314505776636714
"SWE","Sweden","RCP60","Full Adaptation",1087495.02039507,1365183.43851649,146676.416360193,177649.443521625,100137557.660376,146800293.367632,174174.732039393,182617.278179885,1.04357927556928,1.23464651734759,0.632734274711168,0.966367137355584,41.0848155064987,7.85332885631744,45.0462104287384,0.531707317073171
"SWE","Sweden","RCP60","Imperfect Full Adaptation",1096363.73443323,1048291.97240518,125040.154653858,113439.229676831,50564705.6073301,-78541421.7758947,174174.732039393,182617.278179885,0.978390273562922,1.10486783400233,0.527727856225931,0.705519897304236,8.33568248120901,-31.1295419731882,-177.602948392953,0.270860077021823
"SWE","Sweden","RCP60","Imperfect Productivity Only",992015.984910315,765757.916170124,162382.198440773,164105.384781595,103361878.894565,59978206.4886997,174174.732039393,182617.278179885,0.957154907936583,0.881251836944874,0.493453145057766,0.454557124518614,-20.862785705265,-0.36944849879368,-40.7384593046295,0.0198973042362003
"SWE","Sweden","RCP60","No Adaptation",967633.14578925,673630.537604372,164713.917878502,162489.83012779,101209326.968081,58331553.0791934,174174.732039393,182617.278179885,0.985280309704309,0.750557317137501,0.434659820282413,0.268806161745828,-30.3836851253244,-1.35027311556776,-42.3654372313039,-0.165853658536585
"SWE","Sweden","RCP60","Productivity Only",993480.959251141,749387.422097935,163796.549773492,171690.276372934,104488745.623958,67150719.3820822,174174.732039393,182617.278179885,0.99121515080089,0.940434252032984,0.550834403080873,0.596662387676508,-22.5545936123656,4.23543959386527,-33.6516491180106,0.162002567394095
"SWE","Sweden","RCP60","Range Shift Only",1050435.92950807,1136158.27533239,124885.767182718,137448.644102181,98071802.5208257,117299122.061706,174174.732039393,182617.278179885,1.01043973889044,0.951915173703341,0.454942233632863,0.465468549422336,17.4162212483624,-16.5531086428486,15.8975418329776,0.030808729139923
"SWE","Sweden","RCP85","Full Adaptation",1096825.87272581,1381165.36409105,148721.798567813,184973.485026308,102292831.278372,151896183.44889,176439.678266794,189628.015911481,1.03700257963677,1.2683564212956,0.623748395378691,0.965468549422336,46.1069615962684,7.11889542559163,53.9463902182441,0.537740693196406
"SWE","Sweden","RCP85","Imperfect Full Adaptation",1108591.44155808,1045770.16447848,125989.964063618,117731.513648818,51497824.3939187,-84047550.777109,176439.678266794,189628.015911481,0.972539830698647,1.12704238896564,0.520539152759949,0.703594351732991,10.6270872644816,-31.8212029305134,-185.181975972255,0.27586649550706
"SWE","Sweden","RCP85","Imperfect Productivity Only",952832.578400275,609020.42145303,170967.049194609,163004.58597688,99495256.210649,50939601.9430435,176439.678266794,189628.015911481,0.94739518914955,0.787200174133585,0.483311938382542,0.319383825417202,-35.5746055888532,-5.60338311912161,-48.3728447928748,-0.108344030808729
"SWE","Sweden","RCP85","No Adaptation",945311.126178622,555866.312793172,172680.538098711,162086.515712036,98668233.2944294,46762764.1807594,176439.678266794,189628.015911481,0.973964342951731,0.668212079485344,0.427727856225931,0.189730423620026,-41.1975277345738,-6.13504133315776,-52.6060590937939,-0.237997432605905
"SWE","Sweden","RCP85","Productivity Only",948800.171911155,608278.636214335,173126.834984726,166076.512054206,100559685.44674,54429085.3588228,176439.678266794,189628.015911481,0.961600545524156,0.812647100715559,0.508215661103979,0.381514762516046,-35.6530755463257,-3.82441826810274,-44.8362623496009,-0.0462130937098845
"SWE","Sweden","RCP85","Range Shift Only",1061852.52963852,1171522.61400574,126094.488463626,142296.039437752,99560748.26389,122325631.965585,176439.678266794,189628.015911481,1.00493500808418,0.97023916145234,0.451476251604621,0.472528883183569,23.9298450597492,-17.5957864131688,23.9767125459329,0.044801026957638
"SYC","Seychelles","RCP26","Full Adaptation",2013819.90420855,2597238.37198418,163695.497416674,171125.735930623,167747453.502893,172372143.140688,164864.51523794,176399.082188118,1.04949732498778,1.23306141144784,0.637227214377407,0.963543003851091,18.7476045267183,28.9328914161874,44.2182971886968,0.524261874197689
"SYC","Seychelles","RCP26","Imperfect Full Adaptation",1621411.56976147,2459929.90635381,209970.129487987,87114.7088422498,153215095.970841,71923528.0851667,164864.51523794,176399.082188118,0.983541541742088,1.10618837993878,0.533632862644416,0.709370988446727,12.469762819648,-34.36433605484,-39.8238685250893,0.270089858793325
"SYC","Seychelles","RCP26","Imperfect Productivity Only",1618524.97377593,2360400.24801336,211141.460660664,93137.2486277625,154879220.97322,75851893.0931956,164864.51523794,176399.082188118,0.956160330538209,0.885954227312233,0.491784338896021,0.458536585365854,7.91919532658347,-29.8267166021471,-36.5371302977228,0.0192554557124519
"SYC","Seychelles","RCP26","No Adaptation",2187192.22365433,2306786.6943566,132724.655478515,116380.131166309,119521687.955554,68366785.0594262,164864.51523794,176399.082188118,0.991788876796463,0.788873094644747,0.439281129653402,0.303080872913992,5.46794513115349,-12.3146104642568,-42.7996824435332,-0.136200256739409
"SYC","Seychelles","RCP26","Productivity Only",1990715.10223235,2479985.60269848,168030.301852013,168713.461673791,170262260.526488,163908958.404763,164864.51523794,176399.082188118,1.00287083876944,0.962287179957259,0.564313222079589,0.634017971758665,13.3867236668827,27.1153886710227,37.1374193323934,0.194736842105263
"SYC","Seychelles","RCP26","Range Shift Only",2203417.1845416,2468736.1697966,127663.975122209,115570.037578898,115049737.814019,73403441.5805002,164864.51523794,176399.082188118,1.01492361321548,0.948083022907076,0.457894736842105,0.457637997432606,12.8723915117012,-12.9249669835416,-38.5856719093556,0.0183568677792041
"SYC","Seychelles","RCP45","Full Adaptation",2076971.53659134,2555086.62611126,165200.149839871,170511.325835595,169068702.881921,172539757.601929,168988.925445703,175468.408533578,1.03931191673005,1.22916065539399,0.626315789473684,0.965596919127086,13.4997130238233,25.6414834965892,41.8216559721321,0.533761232349166
"SYC","Seychelles","RCP45","Imperfect Full Adaptation",1678682.33274564,2415455.29508548,212370.09645801,86030.438076943,154926202.988131,70932348.5774385,168988.925445703,175468.408533578,0.974586723268457,1.09853268623418,0.523363286264442,0.694351732991014,7.29713819187668,-36.6083642076041,-41.6960862988233,0.262516046213094
"SYC","Seychelles","RCP45","Imperfect Productivity Only",1679090.63281196,2323815.26710498,212548.426711657,92418.4889892719,155857411.171948,76152761.8359788,168988.925445703,175468.408533578,0.954607661657517,0.882126985063351,0.490885750962773,0.448908857509628,3.22638897696182,-31.9013209109577,-37.4050888877038,0.0170731707317073
"SYC","Seychelles","RCP45","No Adaptation",2251183.33609791,2278340.02538502,135712.601515266,115761.710959964,121659669.265061,68824849.5099876,168988.925445703,175468.408533578,0.981932740422421,0.767031241313666,0.43183568677792,0.286649550706033,1.20632952686016,-14.7008386343976,-43.4283769422075,-0.145186136071887
"SYC","Seychelles","RCP45","Productivity Only",2052946.09396625,2448111.62872338,169222.790596161,168628.185809937,171263516.832547,165229448.952483,168988.925445703,175468.408533578,0.991933438792854,0.948020296770293,0.552631578947368,0.615019255455712,8.74776787246543,24.2538894156918,35.8128375250599,0.183183568677792
"SYC","Seychelles","RCP45","Range Shift Only",2271092.29634914,2443059.05858977,129432.285278578,114880.242705518,116021041.293975,73719727.7578652,168988.925445703,175468.408533578,1.00685620485249,0.95005531062617,0.453530166880616,0.463286264441592,8.52332723928405,-15.3503496190842,-39.4049579427583,0.0314505776636714
"SYC","Seychelles","RCP60","Full Adaptation",2017152.53583445,2607571.53997601,164084.131266017,171927.75523674,168172214.801387,172913739.291833,165172.236211149,177060.542230203,1.04357927556928,1.23464651734759,0.632734274711168,0.966367137355584,20.3159221400133,23.6170311594953,35.796009124562,0.531707317073171
"SYC","Seychelles","RCP60","Imperfect Full Adaptation",1623419.33026733,2467492.41977045,210765.589835849,87802.0669001289,153879130.791086,71894324.9562498,165172.236211149,177060.542230203,0.978390273562922,1.10486783400233,0.527727856225931,0.705519897304236,13.8525334038986,-36.8698159007782,-43.5385386508482,0.270860077021823
"SYC","Seychelles","RCP60","Imperfect Productivity Only",1622246.72039744,2304986.02297879,211923.456619533,96780.984537617,156410374.452666,74740799.6629277,165172.236211149,177060.542230203,0.957154907936583,0.881251836944874,0.493453145057766,0.454557124518614,6.35432801091509,-30.4139231925676,-41.3030893058514,0.0198973042362003
"SYC","Seychelles","RCP60","No Adaptation",2167270.54374528,2250060.03171394,139080.961275403,116256.609619974,127333446.989023,62305238.5651929,165172.236211149,177060.542230203,0.985280309704309,0.750557317137501,0.434659820282413,0.268806161745828,3.81998861229367,-16.4108382960001,-51.0692280477068,-0.165853658536585
"SYC","Seychelles","RCP60","Productivity Only",1972478.25082981,2442413.03218431,172118.093475182,167503.035425488,172888813.649861,155717508.00645,165172.236211149,177060.542230203,0.99121515080089,0.940434252032984,0.550834403080873,0.596662387676508,12.6953457302825,20.4356325189651,22.2911274991829,0.162002567394095
"SYC","Seychelles","RCP60","Range Shift Only",2208886.87137182,2486005.48597185,127827.368567647,116024.231967317,115314367.962735,73797682.5356167,165172.236211149,177060.542230203,1.01043973889044,0.951915173703341,0.454942233632863,0.465468549422336,14.7067445338764,-16.577919146266,-42.0437565457733,0.030808729139923
"SYC","Seychelles","RCP85","Full Adaptation",2084327.62600538,2617516.01827602,165318.766223953,173304.382404755,169318373.561302,174268250.478631,169764.875013528,178097.780680471,1.03700257963677,1.2683564212956,0.623748395378691,0.965468549422336,16.965750690972,19.044950529018,31.8571165237505,0.537740693196406
"SYC","Seychelles","RCP85","Imperfect Full Adaptation",1686842.95500638,2466046.91100421,212257.257401333,88523.9194815637,154957139.265192,71299588.3759053,169764.875013528,178097.780680471,0.972539830698647,1.12704238896564,0.520539152759949,0.703594351732991,10.1972351537848,-39.1918111412491,-46.0523755373902,0.27586649550706
"SYC","Seychelles","RCP85","Imperfect Productivity Only",1671744.40042436,2034313.74774794,219174.265401159,112037.666964837,164521502.549193,56088269.4942499,169764.875013528,178097.780680471,0.94739518914955,0.787200174133585,0.483311938382542,0.319383825417202,-9.0950989468935,-23.0399235371575,-57.5617620191482,-0.108344030808729
"SYC","Seychelles","RCP85","No Adaptation",2237848.26140397,1762806.78025252,145578.944453012,174883.959890158,132164463.377478,117465564.121563,169764.875013528,178097.780680471,0.973964342951731,0.668212079485344,0.427727856225931,0.189730423620026,-21.2276001614791,20.1299820844656,-11.1216728614361,-0.237997432605905
"SYC","Seychelles","RCP85","Productivity Only",1736232.29135549,1937618.16397005,209698.071607967,139983.457888353,163560566.041675,81498946.9911086,169764.875013528,178097.780680471,0.961600545524156,0.812647100715559,0.508215661103979,0.381514762516046,-13.4160167430456,-3.84360979239336,-38.3352037995739,-0.0462130937098845
"SYC","Seychelles","RCP85","Range Shift Only",2276911.67560199,2517490.88814512,129652.390850409,117054.453979261,116368759.261862,75294862.3058751,169764.875013528,178097.780680471,1.00493500808418,0.97023916145234,0.451476251604621,0.472528883183569,12.4960495116731,-19.5938297127566,-43.0294192692149,0.044801026957638
"SYR","Syria","RCP26","Full Adaptation",87982.7823196675,162225.005019711,5723.43069272253,11872.3817600398,4116653.97965738,5987735.00543146,12152.0499091677,12202.6120442392,1.04949732498778,1.23306141144784,0.637227214377407,0.963543003851091,98.5913436692903,73.4686616623716,104.68408650237,0.524261874197689
"SYR","Syria","RCP26","Imperfect Full Adaptation",78696.0870157557,129797.828785467,6422.55516841628,9375.37034054742,3329958.60493174,1937043.69284671,12152.0499091677,12202.6120442392,0.983541541742088,1.10618837993878,0.533632862644416,0.709370988446727,58.8948955232292,36.9845561265375,-33.7843076846488,0.270089858793325
"SYR","Syria","RCP26","Imperfect Productivity Only",71656.6093312364,75531.9175886235,8852.36778856078,5896.35690836025,3624636.76989411,3485.16748427197,12152.0499091677,12202.6120442392,0.956160330538209,0.885954227312233,0.491784338896021,0.458536585365854,-7.53592516751499,-13.8476876628417,-99.8808634112601,0.0192554557124519
"SYR","Syria","RCP26","No Adaptation",81687.853066678,84846.9039438958,6844.1075444206,7872.91928263742,2925354.43656101,2458972.14046052,12152.0499091677,12202.6120442392,0.991788876796463,0.788873094644747,0.439281129653402,0.303080872913992,3.86722230860837,15.0320802462481,-15.9427620213008,-0.136200256739409
"SYR","Syria","RCP26","Productivity Only",80551.3483806804,82564.9003108275,8237.72614407644,9310.99589859226,4492680.65755823,3778957.39254678,12152.0499091677,12202.6120442392,1.00287083876944,0.962287179957259,0.564313222079589,0.634017971758665,1.07365686723776,36.0439741509133,29.1794712229556,0.194736842105263
"SYR","Syria","RCP26","Range Shift Only",83203.9533861465,100480.122074361,6448.19393928836,8685.92024403583,2662698.88918806,3262521.81031415,12152.0499091677,12202.6120442392,1.01492361321548,0.948083022907076,0.457894736842105,0.457637997432606,23.0049735697471,26.9109257512575,11.5256930763408,0.0183568677792041
"SYR","Syria","RCP45","Full Adaptation",87135.5775095573,156359.997410015,5725.79713173535,11631.0866163827,4122631.6121065,5887991.52454526,12170.0158699809,11865.3315435441,1.03931191673005,1.22916065539399,0.626315789473684,0.965596919127086,93.4988186374449,65.4016812630442,91.8780113574922,0.533761232349166
"SYR","Syria","RCP45","Imperfect Full Adaptation",77863.8234775483,120414.128406191,6387.08115151459,9351.72111903608,3311443.8486616,1853278.86949563,12170.0158699809,11865.3315435441,0.974586723268457,1.09853268623418,0.523363286264442,0.694351732991014,49.0150420811092,32.9876087082862,-39.60530301593,0.262516046213094
