"sovereign_iso3","sovereign","rcp","scenario","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"FSM","Micronesia","RCP60","Range Shift Only",281071.275992288,286695.88875058,7754848.58831631,6699749205.9256,0.955029807043631,0.453046311839637,-8.78247875900127,-3.78301661312101,0.116816431322208
"FSM","Micronesia","RCP85","Full Adaptation",281071.275992288,286670.556775997,11022385.3998286,12434809135.1989,1.32135859032464,0.841776110068793,3.69715669459594,28.0043525186717,0.545209176788124
"FSM","Micronesia","RCP85","Imperfect Full Adaptation",281071.275992288,286670.556775997,8226123.22032768,5857229209.98911,1.21023743911138,0.630756064645667,-22.6097112716963,-39.7054812481352,0.334189131364998
"FSM","Micronesia","RCP85","Imperfect Productivity Only",281071.275992288,286670.556775997,9219079.9885748,5020684816.84162,0.778399760567611,0.405121622066423,-13.2681041827732,-48.3168979762663,0.108554688785754
"FSM","Micronesia","RCP85","No Adaptation",281071.275992288,286670.556775997,10629399.8323322,9714364309.1238,0.651740876739884,0.296566933280669,0,0,0
"FSM","Micronesia","RCP85","Productivity Only",281071.275992288,286670.556775997,10054435.8756205,6059849802.51719,0.793890178115189,0.455054145683157,-5.40918552111244,-37.6196979062671,0.158487212402488
"FSM","Micronesia","RCP85","Range Shift Only",281071.275992288,286670.556775997,7756904.89060115,6713089500.03151,0.991889205764471,0.455284552845528,-27.0240557984614,-30.8952260136411,0.15871761956486
"GAB","Gabon","RCP26","Full Adaptation",171579.153169985,13804.1203661771,1553361.1680507,1018481543.97639,1.23811098047285,0.847898357526085,-3.35252293034484,48.1809476730788,0.498140285046575
"GAB","Gabon","RCP26","Imperfect Full Adaptation",171579.153169985,13804.1203661771,1165897.12918613,577490030.544021,1.15343250917188,0.638820315328659,-27.4598732244634,-15.979802968573,0.289062242849149
"GAB","Gabon","RCP26","Imperfect Productivity Only",171579.153169985,13804.1203661771,1708806.48784026,602808784.008523,0.90395704671429,0.47065600210658,6.31901919967957,-12.2961261219379,0.12089792962707
"GAB","Gabon","RCP26","No Adaptation",171579.153169985,13804.1203661771,1607244.40528455,687322871.104451,0.778544020522817,0.34975807247951,0,0,0
"GAB","Gabon","RCP26","Productivity Only",171579.153169985,13804.1203661771,1946782.39408469,982651116.016894,0.95154550133305,0.614100918337119,21.1254733681915,42.9679059621402,0.264342845857608
"GAB","Gabon","RCP26","Range Shift Only",171579.153169985,13804.1203661771,1482349.06070505,642402701.741251,0.947342963421658,0.453572956782199,-7.77077488456971,-6.53552664281622,0.103814884302689
"GAB","Gabon","RCP45","Full Adaptation",171579.153169985,24981.7281051905,2674894.23707852,1632476036.73725,1.24070520397289,0.843520621441032,-14.8484963495097,38.4267520917032,0.503011750765281
"GAB","Gabon","RCP45","Imperfect Full Adaptation",171579.153169985,24981.7281051905,1934055.93016494,994777594.775988,1.14996074892929,0.629340706362529,-38.4320440356693,-15.6472570503036,0.288831835686778
"GAB","Gabon","RCP45","Imperfect Productivity Only",171579.153169985,24981.7281051905,3326599.8617536,1325222559.88719,0.895301328460585,0.476185774003489,5.89763750106629,12.3730153677977,0.135676903327738
"GAB","Gabon","RCP45","No Adaptation",171579.153169985,24981.7281051905,3141335.29345271,1179306753.98336,0.755335050797472,0.340508870675751,0,0,0
