"SciName","CommName","SpeciesID"
"Oncorhynchus kisutch","Coho(=Silver) salmon","11400"
"Oncorhynchus nerka","Sockeye(=Red) salmon","11403"
"Oncorhynchus tshawytscha","Chinook(=Spring=King) salmon","11404"
"Ophiodon elongatus","Lingcod","11534"
"Orcynopsis unicolor","Plain bonito","11691"
"Ostrea edulis","European flat oyster","11776"
"Otolithes ruber","Tigertooth croaker","11781"
"Oxynotus centrina","Angular roughshark","11813"
"Pagellus acarne","Axillary seabream","11855"
"Pagellus bellottii","Red pandora","11856"
"Pagellus bogaraveo","Blackspot(=red) seabream","11857"
"Pagellus erythrinus","Common pandora","11858"
"Pagrus auratus","Silver seabream","11866"
"Pagrus major","Japanese seabream","11869"
"Pagrus pagrus","Red porgy","11870"
"Palaemon serratus","Common prawn","11879"
"Palinurus elephas","Common spiny lobster","11888"
"Palinurus gilchristi","Southern spiny lobster","11889"
"Palinurus mauritanicus","Pink spiny lobster","11890"
"Pampus argenteus","Silver pomfret","11911"
"Pandalus jordani","Ocean shrimp","11915"
"Panulirus argus","Caribbean spiny lobster","11930"
"Panulirus gracilis","Green spiny lobster","11931"
"Panulirus homarus","Scalloped spiny lobster","11933"
"Panulirus longipes","Longlegged spiny lobster","11935"
"Paracentrotus lividus","Stony sea urchin","11991"
"Paralabrax humeralis","Peruvian rock seabass","12055"
"Paralichthys californicus","California flounder","12070"
"Paralichthys dentatus","Summer flounder","12071"
"Paralichthys olivaceus","Bastard halibut","12074"
"Paralithodes camtschaticus","Red king crab","12111"
"Paralithodes platypus","Blue king crab","12112"
"Paralonchurus peruanus","Peruvian banded croaker","12118"
"Parapenaeopsis atlantica","Guinea shrimp","12160"
"Parapenaeus longirostris","Deep-water rose shrimp","12174"
"Parapercis colias","New Zealand blue cod","12182"
"Parastromateus niger","Black pomfret","12259"
"Paristiopterus labiosus","Giant boarfish","12313"
"Parona signata","Parona leatherjacket","12327"
"Parophrys vetulus","English sole ","12330"
"Patagonotothen ramsayi","Longtail Southern cod","12388"
"Patinopecten caurinus","Weathervane scallop","12397"
"Pecten jacobaeus","Great Mediterranean scallop","12425"
"Pecten maximus","Great Atlantic scallop","12426"
"Pegusa lascaris","Sand sole","12442"
"Pelates quadrilineatus","Fourlined terapon","12449"
"Pellona ditchela","Indian pellona","12457"
"Penaeus monodon","Giant tiger prawn","12488"
"Penaeus semisulcatus","Green tiger prawn","12489"
