"rcp","scenario","scenario_short","sovereign_iso3","sovereign","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"RCP 2.6","Productivity Only","Productivity","RUS","Russia",3668642.87422878,3887676.63871827,295008980.340897,243525167262.827,0.926630823107082,0.6616341936142,12.41892166496,43.7041768397309,0.260226461287361
"RCP 2.6","Range Shift Only","Range","RUS","Russia",3668642.87422878,3887676.63871827,247241499.858744,218800511058.945,1.11677273634019,0.557635417729267,-5.78380775788803,29.1141596872554,0.156227685402428
"RCP 4.5","Full Adaptation","Full","RUS","Russia",3668642.87422878,4046190.74008919,313954669.26704,349063753845.553,1.22951242536232,0.922151450813871,12.3803964934831,100.027349441726,0.58017389546052
"RCP 4.5","No Adaptation","BAU","RUS","Russia",3668642.87422878,4046190.74008919,279367824.872594,174508013439.055,0.751385009146092,0.341977555353352,0,0,0
"RCP 4.5","Productivity Only","Productivity","RUS","Russia",3668642.87422878,4046190.74008919,298085497.875929,223635158574.536,0.811927834449047,0.547669598625013,6.70001028639289,28.1517989731966,0.205692043271661
"RCP 4.5","Range Shift Only","Range","RUS","Russia",3668642.87422878,4046190.74008919,253707984.52438,225546255517.031,1.12832889112211,0.559700738044687,-9.18496622147385,29.2469331763957,0.217723182691336
"RCP 6.0","Full Adaptation","Full","RUS","Russia",3668642.87422878,4043223.09714149,311709192.35174,345991458833.011,1.27112218950905,0.923241372289525,15.4880826868196,128.97464652298,0.599409549017612
"RCP 6.0","No Adaptation","BAU","RUS","Russia",3668642.87422878,4043223.09714149,269905937.565033,151104702676.454,0.707010073904999,0.323831823271913,0,0,0
"RCP 6.0","Productivity Only","Productivity","RUS","Russia",3668642.87422878,4043223.09714149,314282577.104803,213905572917.098,0.752870743947315,0.496131528046422,16.4415203089328,41.5611619812476,0.172299704774509
"RCP 6.0","Range Shift Only","Range","RUS","Russia",3668642.87422878,4043223.09714149,252526548.980527,223887856594.844,1.13820937182716,0.558892395398554,-6.43905382048808,48.1673651641623,0.235060572126642
"RCP 8.5","Full Adaptation","Full","RUS","Russia",3668642.87422878,4082113.48627408,317808021.170938,355650803154.018,1.45400539259512,0.921527506827936,18.3867472746841,176.501118569398,0.659968786578229
"RCP 8.5","No Adaptation","BAU","RUS","Russia",3668642.87422878,4082113.48627408,268448984.778297,128625448241.995,0.624922792663065,0.261558720249707,0,0,0
"RCP 8.5","Productivity Only","Productivity","RUS","Russia",3668642.87422878,4082113.48627408,309654276.382914,177218239542.291,0.641392079708605,0.352906749902458,15.3493937176355,37.7785204751035,0.0913480296527507
"RCP 8.5","Range Shift Only","Range","RUS","Russia",3668642.87422878,4082113.48627408,259218259.026378,231124649387.619,1.23325561181015,0.574814670308233,-3.43854001144478,79.6881196890235,0.313255950058525
