"rcp","scenario","scenario_short","sovereign_iso3","sovereign","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff"
"RCP 6.0","No Adaptation","BAU","HRV","Croatia",685173.150243095,522975.177492606,67462.6986581903,69124.6159034286,34986380.8302278,15296542.5955547,97069.2350935648,97028.4001816905,0.996175105599558,0.611931500880971,0.481390615083101,0.186813186813187,-23.6725523603693,2.46346096182518,-56.2785797428392,-0.294577428269915
"RCP 6.0","Productivity Only","Productivity","HRV","Croatia",678102.507412306,480348.566707336,69971.4021432639,75432.1800466146,43522513.9323223,21352563.6797574,97069.2350935648,97028.4001816905,1.00314439967525,0.721538706477187,0.581021872101214,0.39010989010989,-29.8938426678115,11.8131671974802,-38.9689268422157,-0.0912807249732113
"RCP 6.0","Range Shift Only","Range","HRV","Croatia",703431.79274553,857848.674077932,61800.6216532813,78688.3926360442,30540466.7363398,29913375.5934189,97069.2350935648,97028.4001816905,1.01707244421062,0.982432139705184,0.495859888826118,0.472527472527473,25.2017353239212,16.6398531353311,-14.4999428818483,-0.00886314255562892
"RCP 8.5","Full Adaptation","Full","HRV","Croatia",719487.645063065,1090822.87251828,59384.1444499207,84666.2905129526,38731583.5749334,42743996.3753738,97086.5700251689,87733.6388356363,1.05683122207152,1.53716609390863,0.672663012017102,0.986029962546816,60.2753836191854,23.1208387090192,17.6097823549687,0.509785986790255
"RCP 8.5","No Adaptation","BAU","HRV","Croatia",680592.89448346,356659.299109893,68766.8240410958,66837.2170584448,36343912.4871129,10490443.806784,97086.5700251689,87733.6388356363,0.991435495053665,0.491363582434787,0.476243975756561,0.0872659176029962,-47.5957944902463,-2.80601439656111,-71.1356233027916,-0.388978058153565
"RCP 8.5","Productivity Only","Productivity","HRV","Croatia",633836.833732385,351958.272819224,75393.5690896239,65909.6285975004,42605873.2565436,9900464.10266788,97086.5700251689,87733.6388356363,0.984114201873174,0.573058130812292,0.550107582002943,0.177315855181024,-48.2865196401521,-4.15490388488475,-72.758947991143,-0.298928120575538
"RCP 8.5","Range Shift Only","Range","HRV","Croatia",699334.690128192,748137.873241237,61440.9636153495,72298.4838942456,30532664.655601,26201027.3854212,97086.5700251689,87733.6388356363,1.01518933765108,1.06576694229629,0.495235703973385,0.517952559300874,9.92443196296391,5.13570301143946,-27.9080715519778,0.0417085835443127
"RCP 2.6","Full Adaptation","Full","HTI","Haiti",248920.553663972,277249.462005276,17722.1939465353,16247.3843030648,18678169.1606992,23810575.2091873,16738.9577843475,16862.1784451437,1.02942584892231,1.26595318331455,0.631972789115646,0.993197278911565,3.27148056320386,13.6422084081883,27.9959425759965,0.59047619047619
"RCP 2.6","No Adaptation","BAU","HTI","Haiti",268466.628437262,211554.538330373,14296.9628368241,10366.6768764424,18602601.5590689,7955403.38481425,16738.9577843475,16862.1784451437,0.926088210295617,0.639015932835382,0.402721088435374,0.244897959183673,-21.1989439574566,-27.4903558555708,-57.2349955485881,-0.157823129251701
"RCP 2.6","Productivity Only","Productivity","HTI","Haiti",235396.661143198,182338.638191859,20717.8246488673,14932.6467969613,21903345.5577349,12480460.8095253,16738.9577843475,16862.1784451437,0.980709794713383,0.81126627305982,0.559863945578231,0.523809523809524,-32.081451145996,4.44628672112065,-32.9101321129946,0.12108843537415
"RCP 2.6","Range Shift Only","Range","HTI","Haiti",275464.617527393,283198.386678484,12212.6547668659,10286.5167957488,16295419.332696,11665540.8719497,16738.9577843475,16862.1784451437,0.945931587712641,0.870804677306879,0.424489795918367,0.428571428571429,5.48737037708394,-28.0510349425103,-37.2908093800317,0.0258503401360544
"RCP 4.5","Full Adaptation","Full","HTI","Haiti",249247.289111189,255417.262637112,17711.0829570823,15822.9241379038,18674814.8532995,22915323.1013121,17001.0003719397,16316.0728841865,1.01981901446618,1.2860871401594,0.62108843537415,0.993159746657284,-6.77027058160985,23.4695148808298,33.3940704482778,0.593840018766127
"RCP 4.5","No Adaptation","BAU","HTI","Haiti",273965.465984426,251274.024102978,12815.2476772714,9978.2898045641,17178666.9559628,10296838.3991653,17001.0003719397,16316.0728841865,0.923139900057143,0.692284073440506,0.399319727891156,0.266769880365939,-8.28259204126752,-22.1373628052372,-40.0603176861101,-0.132549847525217
"RCP 4.5","Productivity Only","Productivity","HTI","Haiti",243876.730164683,212895.57005554,19052.5357882254,15430.5481670675,20160776.7870943,16439819.6327989,17001.0003719397,16316.0728841865,0.992303059609344,0.879785011754947,0.577551020408163,0.574581280788177,-22.2910926782126,20.4077248888016,-4.30095842161664,0.175261552897021
